"column_name","description"
"study_id","personal study ID composed by the first authors’ first surname_year of publication_first title word "
"participant","name of the participant "
"age_in_years","age presented in years – see metadata for source of age"
"sex","sex of the participant "
"species","species of individuals participating in the study -bonobo/chimpanzee"
"species_subgroup","species subgroup at time of data collection – WKPRC chimpanzee group a or b/ etc"
"session","set of trials - mostly occurring on the same day - usually numerical"
"condition","joint attention condition (watching together) or disjoint attention condition (control)"
"order","order of the conditions indicating which condition was presented first to the participant– ja_first / da_first"
"approach_latency","time in seconds it took the participant to enter the approach area in joint attention condition (watching together) or disjoint attention condition (control)"
"time_spent_looking_at_screen","time in seconds spent looking at the screen in the condition"
"time_spent_looking_at_experimenter","time in seconds spent looking at the experimenter in the condition"
"excluded","whether the participant was excluded – yes/no "
