study_id,participant,age_in_years,sex,species,session,condition,order,approach_latency
wolf2020human,alex,18.0,m,chimpanzee,1,sharing,sharing_first,0.0
wolf2020human,alex,18.0,m,chimpanzee,2,observing,sharing_first,3.215
wolf2020human,bambari,19.0,f,chimpanzee,1,observing,observing_first,90.0
wolf2020human,bambari,19.0,f,chimpanzee,2,sharing,observing_first,12.601
wolf2020human,daza,33.0,f,chimpanzee,1,observing,observing_first,16.278
wolf2020human,daza,33.0,f,chimpanzee,2,sharing,observing_first,23.115
wolf2020human,dorien,39.0,f,chimpanzee,1,sharing,sharing_first,10.107
wolf2020human,dorien,39.0,f,chimpanzee,2,observing,sharing_first,3.001
wolf2020human,fraukje,43.0,f,chimpanzee,1,observing,observing_first,65.751
wolf2020human,fraukje,43.0,f,chimpanzee,2,sharing,observing_first,90.0
wolf2020human,frederike,45.0,f,chimpanzee,1,observing,observing_first,16.262
wolf2020human,frederike,45.0,f,chimpanzee,2,sharing,observing_first,14.514
wolf2020human,frodo,26.0,m,chimpanzee,1,sharing,sharing_first,10.56
wolf2020human,frodo,26.0,m,chimpanzee,2,observing,sharing_first,8.467
wolf2020human,gemena,14.0,f,bonobo,1,observing,observing_first,18.814
wolf2020human,gemena,14.0,f,bonobo,2,sharing,observing_first,20.724
wolf2020human,hope,29.0,f,chimpanzee,1,observing,observing_first,77.341
wolf2020human,hope,29.0,f,chimpanzee,2,sharing,observing_first,34.546
wolf2020human,jasongo,29.0,m,bonobo,1,sharing,sharing_first,71.923
wolf2020human,jasongo,29.0,m,bonobo,2,observing,sharing_first,7.487
wolf2020human,kasai_II,6.0,m,bonobo,1,observing,observing_first,11.026
wolf2020human,kasai_II,6.0,m,bonobo,2,sharing,observing_first,1.0
wolf2020human,kuno,23.0,m,bonobo,1,sharing,sharing_first,83.79
wolf2020human,kuno,23.0,m,bonobo,2,observing,sharing_first,90.0
wolf2020human,lobo,15.0,m,chimpanzee,1,observing,observing_first,14.481
wolf2020human,lobo,15.0,m,chimpanzee,2,sharing,observing_first,84.816
wolf2020human,lome,18.0,m,chimpanzee,1,sharing,sharing_first,23.557
wolf2020human,lome,18.0,m,chimpanzee,2,observing,sharing_first,69.135
wolf2020human,luiza,14.0,f,bonobo,1,observing,observing_first,12.468
wolf2020human,luiza,14.0,f,bonobo,2,sharing,observing_first,47.498
wolf2020human,riet,42.0,f,chimpanzee,1,sharing,sharing_first,36.448
wolf2020human,riet,42.0,f,chimpanzee,2,observing,sharing_first,10.195
wolf2020human,sandra,26.0,f,chimpanzee,1,sharing,sharing_first,7.702
wolf2020human,sandra,26.0,f,chimpanzee,2,observing,sharing_first,81.66
wolf2020human,tai,17.0,f,chimpanzee,1,observing,observing_first,4.75
wolf2020human,tai,17.0,f,chimpanzee,2,sharing,observing_first,90.0
wolf2020human,zira,22.0,f,chimpanzee,1,sharing,sharing_first,59.536
wolf2020human,zira,22.0,f,chimpanzee,2,observing,sharing_first,64.855
